AvgHorLen,AvgVertLen,minLenHor,maxLenHor,maxLenVert,minLenVert,ForgeOrReal,dbAvgHor,dbAvgVert,dbAvgMinHor,dbAvgMaxHor,dbAvgMinVert,dbAvgMaxVert
122.58361914869792,164.74828362590267,101.00495037373169,269.3566409056959,377.27046001509314,101.1236866416568,1,129.20956272117763,157.78751759582462,101.91825070233253,244.01297377093414,103.50723411939053,287.03154927926244
141.34387189576609,145.29367712334505,101.59724405711013,218.40329667841556,212.2192262732102,115.45128842936315,1,129.20956272117763,157.78751759582462,101.91825070233253,244.01297377093414,103.50723411939053,287.03154927926244
131.16210091119453,127.41846398103814,101.71037311896953,206.47518010647187,216.6217902243447,101.00495037373169,1,129.20956272117763,157.78751759582462,101.91825070233253,244.01297377093414,103.50723411939053,287.03154927926244
142.18877975880326,128.68900358086228,101.1236866416568,297.27092020579477,193.2097306038182,101.1236866416568,1,129.20956272117763,157.78751759582462,101.91825070233253,244.01297377093414,103.50723411939053,287.03154927926244
128.67179504194888,161.6650214847074,104.38869670610895,255.85347369148616,339.17104829274564,108.90821823902914,1,129.20956272117763,157.78751759582462,101.91825070233253,244.01297377093414,103.50723411939053,287.03154927926244
124.66852351891905,216.3560964012533,101.71037311896953,226.2211307548435,300.3747659175118,103.16006979447037,1,129.20956272117763,157.78751759582462,101.91825070233253,244.01297377093414,103.50723411939053,287.03154927926244
123.47736435107407,165.43881093937935,101.83319694480774,199.46177578674065,213.693706037403,101.40019723846694,1,129.20956272117763,157.78751759582462,101.91825070233253,244.01297377093414,103.50723411939053,287.03154927926244
128.5219175107339,167.98284792682273,102.59142264341595,254.02558926218438,315.2919282189127,103.16006979447037,1,129.20956272117763,157.78751759582462,101.91825070233253,244.01297377093414,103.50723411939053,287.03154927926244
125.98479907824496,146.7418445641109,101.83319694480774,257.26251184344756,303.349633261687,101.04454463255303,1,129.20956272117763,157.78751759582462,101.91825070233253,244.01297377093414,103.50723411939053,287.03154927926244
127.18371858047736,147.53675734825464,101.59724405711013,237.43841306747314,285.8548582760139,101.1236866416568,1,129.20956272117763,157.78751759582462,101.91825070233253,244.01297377093414,103.50723411939053,287.03154927926244
125.51870013709393,163.79188657839475,101.71037311896953,262.37377917772193,400.2898949511466,101.07917688624102,1,129.20956272117763,157.78751759582462,101.91825070233253,244.01297377093414,103.50723411939053,287.03154927926244
122.58361914869792,164.74828362590267,101.00495037373169,269.3566409056959,377.27046001509314,101.1236866416568,1,150.84975686095865,101.40546613974564,69.9908284080961,529.0741786402962,70.82209844915972,185.4190138964615
141.34387189576609,145.29367712334505,101.59724405711013,218.40329667841556,212.2192262732102,115.45128842936315,1,150.84975686095865,101.40546613974564,69.9908284080961,529.0741786402962,70.82209844915972,185.4190138964615
131.16210091119453,127.41846398103814,101.71037311896953,206.47518010647187,216.6217902243447,101.00495037373169,1,150.84975686095865,101.40546613974564,69.9908284080961,529.0741786402962,70.82209844915972,185.4190138964615
142.18877975880326,128.68900358086228,101.1236866416568,297.27092020579477,193.2097306038182,101.1236866416568,1,150.84975686095865,101.40546613974564,69.9908284080961,529.0741786402962,70.82209844915972,185.4190138964615
128.67179504194888,161.6650214847074,104.38869670610895,255.85347369148616,339.17104829274564,108.90821823902914,1,150.84975686095865,101.40546613974564,69.9908284080961,529.0741786402962,70.82209844915972,185.4190138964615
124.66852351891905,216.3560964012533,101.71037311896953,226.2211307548435,300.3747659175118,103.16006979447037,1,150.84975686095865,101.40546613974564,69.9908284080961,529.0741786402962,70.82209844915972,185.4190138964615
123.47736435107407,165.43881093937935,101.83319694480774,199.46177578674065,213.693706037403,101.40019723846694,1,150.84975686095865,101.40546613974564,69.9908284080961,529.0741786402962,70.82209844915972,185.4190138964615
128.5219175107339,167.98284792682273,102.59142264341595,254.02558926218438,315.2919282189127,103.16006979447037,1,150.84975686095865,101.40546613974564,69.9908284080961,529.0741786402962,70.82209844915972,185.4190138964615
125.98479907824496,146.7418445641109,101.83319694480774,257.26251184344756,303.349633261687,101.04454463255303,1,150.84975686095865,101.40546613974564,69.9908284080961,529.0741786402962,70.82209844915972,185.4190138964615
127.18371858047736,147.53675734825464,101.59724405711013,237.43841306747314,285.8548582760139,101.1236866416568,1,150.84975686095865,101.40546613974564,69.9908284080961,529.0741786402962,70.82209844915972,185.4190138964615
125.51870013709393,163.79188657839475,101.71037311896953,262.37377917772193,400.2898949511466,101.07917688624102,1,150.84975686095865,101.40546613974564,69.9908284080961,529.0741786402962,70.82209844915972,185.4190138964615
